a,b,c,d,e,PM2.5
-0.44836,1.0197,-1.12996,-1.37897,1.06364,0.212389381
-0.61723,1.19402,-1.0515,-0.84261,1.21186,0.168141593
-0.68321,1.2197,-1.15799,-0.81621,1.24866,0.097345133
-0.69236,0.14168,-1.56655,-1.19304,0.12329,0.044247788
-0.73479,0.09068,-1.79906,-0.48759,-0.23874,0.123893805
-0.37924,-0.3491,-1.69798,-0.28567,-0.51754,0.132743363
-0.23365,-0.50068,-1.63411,-0.08711,-0.63827,0.168141593
0.7825,-0.9598,-1.33864,0.24707,-0.70324,0.185840708
-0.27278,-0.70656,-1.28969,0.1308,-0.4412,0.230088496
0.04245,-0.90158,-1.08812,0.15807,-0.59254,0.221238938
-0.33298,-1.03174,-1.45681,0.19134,0.0264,0.132743363
-0.85816,-0.71287,-1.24572,-0.3055,-0.11273,0.14159292
-0.91545,-0.62339,-1.16271,0.0331,0.03769,0.203539823
-0.72664,-0.11032,-1.28066,0.45431,0.37697,0.274336283
-0.83172,-0.29586,-1.34853,0.32778,0.47587,0.292035398
-0.96024,-0.15419,-1.12209,0.4262,0.18103,0.327433628
-0.84109,-0.36381,-1.27522,0.17037,0.51445,0.265486726
-0.99847,-0.31712,-0.98021,0.2737,0.23961,0.150442478
-0.98474,-0.56666,-1.07581,-0.1372,0.00472,0.097345133
-0.92153,-0.66523,-1.06513,-0.35693,-0.08982,0.212389381
-0.1846,-1.04028,-0.70061,-0.37899,-0.36596,0.247787611
0.88732,-1.25014,-0.65875,0.0515,-0.73827,0.300884956
0.85283,0.26504,-0.58193,-1.64886,0.57596,0.194690265
0.05503,1.32934,-0.90025,-1.70691,0.43502,0.292035398
-0.28659,1.67417,-1.11644,-1.08854,0.7671,0.274336283
-0.445,1.73566,-1.21,-0.97667,0.83254,0.327433628
-0.46171,1.74512,-1.16498,-0.9426,0.79679,0.238938053
-0.54957,1.96957,-0.97185,-0.4076,1.04652,0.194690265
-0.63242,1.87963,-0.83295,-0.63108,0.9329,0.17699115
-0.36051,1.54555,-0.80114,-0.97944,0.87737,0.17699115
